Sample,Location,File,Reads,Path,Loc
ALVS_091,ALVS,ALVS_091_R1.sort.flt.bam,498802,/home/maccamp/data/longfin/ALVS_091_R1.sort.flt.bam,ALVS
ALVS_092,ALVS,ALVS_092_R1.sort.flt.bam,225523,/home/maccamp/data/longfin/ALVS_092_R1.sort.flt.bam,ALVS
ALVS_093,ALVS,ALVS_093_R1.sort.flt.bam,371449,/home/maccamp/data/longfin/ALVS_093_R1.sort.flt.bam,ALVS
ALVS_094,ALVS,ALVS_094_R1.sort.flt.bam,438541,/home/maccamp/data/longfin/ALVS_094_R1.sort.flt.bam,ALVS
ALVS_095,ALVS,ALVS_095_R1.sort.flt.bam,433426,/home/maccamp/data/longfin/ALVS_095_R1.sort.flt.bam,ALVS
ALVS_096,ALVS,ALVS_096_R1.sort.flt.bam,457538,/home/maccamp/data/longfin/ALVS_096_R1.sort.flt.bam,ALVS
ALVS_097,ALVS,ALVS_097_R1.sort.flt.bam,515777,/home/maccamp/data/longfin/ALVS_097_R1.sort.flt.bam,ALVS
ALVS_098,ALVS,ALVS_098_R1.sort.flt.bam,676628,/home/maccamp/data/longfin/ALVS_098_R1.sort.flt.bam,ALVS
ALVS_099,ALVS,ALVS_099_R1.sort.flt.bam,482317,/home/maccamp/data/longfin/ALVS_099_R1.sort.flt.bam,ALVS
ALVS_100,ALVS,ALVS_100_R1.sort.flt.bam,404365,/home/maccamp/data/longfin/ALVS_100_R1.sort.flt.bam,ALVS
ALVS_101,ALVS,ALVS_101_R1.sort.flt.bam,554217,/home/maccamp/data/longfin/ALVS_101_R1.sort.flt.bam,ALVS
ALVS_102,ALVS,ALVS_102_R1.sort.flt.bam,264557,/home/maccamp/data/longfin/ALVS_102_R1.sort.flt.bam,ALVS
CHPI_703,CHPI,CHPI_703_R1.sort.flt.bam,280535,/home/maccamp/data/longfin/CHPI_703_R1.sort.flt.bam,CHPI
CHPI_707,CHPI,CHPI_707_R1.sort.flt.bam,700365,/home/maccamp/data/longfin/CHPI_707_R1.sort.flt.bam,CHPI
CHPI_725,CHPI,CHPI_725_R1.sort.flt.bam,514296,/home/maccamp/data/longfin/CHPI_725_R1.sort.flt.bam,CHPI
CHPI_735,CHPI,CHPI_735_R1.sort.flt.bam,584538,/home/maccamp/data/longfin/CHPI_735_R1.sort.flt.bam,CHPI
CHPI_916,CHPI,CHPI_916_R1.sort.flt.bam,716229,/home/maccamp/data/longfin/CHPI_916_R1.sort.flt.bam,CHPI
CHPI_924,CHPI,CHPI_924_R1.sort.flt.bam,457434,/home/maccamp/data/longfin/CHPI_924_R1.sort.flt.bam,CHPI
CHPI_925,CHPI,CHPI_925_R1.sort.flt.bam,250910,/home/maccamp/data/longfin/CHPI_925_R1.sort.flt.bam,CHPI
COLR_001,COLR,COLR_001_R1.sort.flt.bam,258297,/home/maccamp/data/longfin/COLR_001_R1.sort.flt.bam,COLR
COLR_007,COLR,COLR_007_R1.sort.flt.bam,296521,/home/maccamp/data/longfin/COLR_007_R1.sort.flt.bam,COLR
COLR_030,COLR,COLR_030_R1.sort.flt.bam,1433654,/home/maccamp/data/longfin/COLR_030_R1.sort.flt.bam,COLR
COLR_031,COLR,COLR_031_R1.sort.flt.bam,247932,/home/maccamp/data/longfin/COLR_031_R1.sort.flt.bam,COLR
COLR_032,COLR,COLR_032_R1.sort.flt.bam,726471,/home/maccamp/data/longfin/COLR_032_R1.sort.flt.bam,COLR
COLR_033,COLR,COLR_033_R1.sort.flt.bam,306723,/home/maccamp/data/longfin/COLR_033_R1.sort.flt.bam,COLR
COLR_035,COLR,COLR_035_R1.sort.flt.bam,327624,/home/maccamp/data/longfin/COLR_035_R1.sort.flt.bam,COLR
HRLC_001,HRLC,HRLC_001_R1.sort.flt.bam,309026,/home/maccamp/data/longfin/HRLC_001_R1.sort.flt.bam,HRLC
HRLC_264,HRLC,HRLC_264_R1.sort.flt.bam,189742,/home/maccamp/data/longfin/HRLC_264_R1.sort.flt.bam,HRLC
HRLC_266,HRLC,HRLC_266_R1.sort.flt.bam,310382,/home/maccamp/data/longfin/HRLC_266_R1.sort.flt.bam,HRLC
HRLC_271,HRLC,HRLC_271_R1.sort.flt.bam,549193,/home/maccamp/data/longfin/HRLC_271_R1.sort.flt.bam,HRLC
HRLC_272,HRLC,HRLC_272_R1.sort.flt.bam,474948,/home/maccamp/data/longfin/HRLC_272_R1.sort.flt.bam,HRLC
HRLC_274,HRLC,HRLC_274_R1.sort.flt.bam,484484,/home/maccamp/data/longfin/HRLC_274_R1.sort.flt.bam,HRLC
HUMB_001,HUMB,HUMB_001_R1.sort.flt.bam,1658489,/home/maccamp/data/longfin/HUMB_001_R1.sort.flt.bam,HUMB
HUMB_002,HUMB,HUMB_002_R1.sort.flt.bam,2829442,/home/maccamp/data/longfin/HUMB_002_R1.sort.flt.bam,HUMB
HUMB_003,HUMB,HUMB_003_R1.sort.flt.bam,2349005,/home/maccamp/data/longfin/HUMB_003_R1.sort.flt.bam,HUMB
HUMB_004,HUMB,HUMB_004_R1.sort.flt.bam,1433887,/home/maccamp/data/longfin/HUMB_004_R1.sort.flt.bam,HUMB
