Sample,Loc,Number,File,Reads,Alignment,Path,Location
ALVS_091,ALVS,091,ALVS_091_R1.sort.flt.bam,498802,New Genome,/home/maccamp/data/longfin/ALVS_091_R1.sort.flt.bam,ALVS
ALVS_092,ALVS,092,ALVS_092_R1.sort.flt.bam,225523,New Genome,/home/maccamp/data/longfin/ALVS_092_R1.sort.flt.bam,ALVS
ALVS_093,ALVS,093,ALVS_093_R1.sort.flt.bam,371449,New Genome,/home/maccamp/data/longfin/ALVS_093_R1.sort.flt.bam,ALVS
ALVS_094,ALVS,094,ALVS_094_R1.sort.flt.bam,438541,New Genome,/home/maccamp/data/longfin/ALVS_094_R1.sort.flt.bam,ALVS
ALVS_095,ALVS,095,ALVS_095_R1.sort.flt.bam,433426,New Genome,/home/maccamp/data/longfin/ALVS_095_R1.sort.flt.bam,ALVS
ALVS_096,ALVS,096,ALVS_096_R1.sort.flt.bam,457538,New Genome,/home/maccamp/data/longfin/ALVS_096_R1.sort.flt.bam,ALVS
ALVS_097,ALVS,097,ALVS_097_R1.sort.flt.bam,515777,New Genome,/home/maccamp/data/longfin/ALVS_097_R1.sort.flt.bam,ALVS
ALVS_098,ALVS,098,ALVS_098_R1.sort.flt.bam,676628,New Genome,/home/maccamp/data/longfin/ALVS_098_R1.sort.flt.bam,ALVS
ALVS_099,ALVS,099,ALVS_099_R1.sort.flt.bam,482317,New Genome,/home/maccamp/data/longfin/ALVS_099_R1.sort.flt.bam,ALVS
ALVS_100,ALVS,100,ALVS_100_R1.sort.flt.bam,404365,New Genome,/home/maccamp/data/longfin/ALVS_100_R1.sort.flt.bam,ALVS
ALVS_101,ALVS,101,ALVS_101_R1.sort.flt.bam,554217,New Genome,/home/maccamp/data/longfin/ALVS_101_R1.sort.flt.bam,ALVS
ALVS_102,ALVS,102,ALVS_102_R1.sort.flt.bam,264557,New Genome,/home/maccamp/data/longfin/ALVS_102_R1.sort.flt.bam,ALVS
CHPI_703,CHPI,703,CHPI_703_R1.sort.flt.bam,280535,New Genome,/home/maccamp/data/longfin/CHPI_703_R1.sort.flt.bam,CHPI
CHPI_707,CHPI,707,CHPI_707_R1.sort.flt.bam,700365,New Genome,/home/maccamp/data/longfin/CHPI_707_R1.sort.flt.bam,CHPI
CHPI_725,CHPI,725,CHPI_725_R1.sort.flt.bam,514296,New Genome,/home/maccamp/data/longfin/CHPI_725_R1.sort.flt.bam,CHPI
CHPI_735,CHPI,735,CHPI_735_R1.sort.flt.bam,584538,New Genome,/home/maccamp/data/longfin/CHPI_735_R1.sort.flt.bam,CHPI
CHPI_916,CHPI,916,CHPI_916_R1.sort.flt.bam,716229,New Genome,/home/maccamp/data/longfin/CHPI_916_R1.sort.flt.bam,CHPI
CHPI_924,CHPI,924,CHPI_924_R1.sort.flt.bam,457434,New Genome,/home/maccamp/data/longfin/CHPI_924_R1.sort.flt.bam,CHPI
CHPI_925,CHPI,925,CHPI_925_R1.sort.flt.bam,250910,New Genome,/home/maccamp/data/longfin/CHPI_925_R1.sort.flt.bam,CHPI
COLR_001,COLR,001,COLR_001_R1.sort.flt.bam,258297,New Genome,/home/maccamp/data/longfin/COLR_001_R1.sort.flt.bam,COLR
COLR_007,COLR,007,COLR_007_R1.sort.flt.bam,296521,New Genome,/home/maccamp/data/longfin/COLR_007_R1.sort.flt.bam,COLR
COLR_030,COLR,030,COLR_030_R1.sort.flt.bam,1433654,New Genome,/home/maccamp/data/longfin/COLR_030_R1.sort.flt.bam,COLR
COLR_031,COLR,031,COLR_031_R1.sort.flt.bam,247932,New Genome,/home/maccamp/data/longfin/COLR_031_R1.sort.flt.bam,COLR
COLR_032,COLR,032,COLR_032_R1.sort.flt.bam,726471,New Genome,/home/maccamp/data/longfin/COLR_032_R1.sort.flt.bam,COLR
COLR_033,COLR,033,COLR_033_R1.sort.flt.bam,306723,New Genome,/home/maccamp/data/longfin/COLR_033_R1.sort.flt.bam,COLR
COLR_035,COLR,035,COLR_035_R1.sort.flt.bam,327624,New Genome,/home/maccamp/data/longfin/COLR_035_R1.sort.flt.bam,COLR
HRLC_001,HRLC,001,HRLC_001_R1.sort.flt.bam,309026,New Genome,/home/maccamp/data/longfin/HRLC_001_R1.sort.flt.bam,HRLC
HRLC_264,HRLC,264,HRLC_264_R1.sort.flt.bam,189742,New Genome,/home/maccamp/data/longfin/HRLC_264_R1.sort.flt.bam,HRLC
HRLC_266,HRLC,266,HRLC_266_R1.sort.flt.bam,310382,New Genome,/home/maccamp/data/longfin/HRLC_266_R1.sort.flt.bam,HRLC
HRLC_271,HRLC,271,HRLC_271_R1.sort.flt.bam,549193,New Genome,/home/maccamp/data/longfin/HRLC_271_R1.sort.flt.bam,HRLC
HRLC_272,HRLC,272,HRLC_272_R1.sort.flt.bam,474948,New Genome,/home/maccamp/data/longfin/HRLC_272_R1.sort.flt.bam,HRLC
HRLC_274,HRLC,274,HRLC_274_R1.sort.flt.bam,484484,New Genome,/home/maccamp/data/longfin/HRLC_274_R1.sort.flt.bam,HRLC
HUMB_001,HUMB,001,HUMB_001_R1.sort.flt.bam,1658489,New Genome,/home/maccamp/data/longfin/HUMB_001_R1.sort.flt.bam,HUMB
HUMB_002,HUMB,002,HUMB_002_R1.sort.flt.bam,2829442,New Genome,/home/maccamp/data/longfin/HUMB_002_R1.sort.flt.bam,HUMB
HUMB_003,HUMB,003,HUMB_003_R1.sort.flt.bam,2349005,New Genome,/home/maccamp/data/longfin/HUMB_003_R1.sort.flt.bam,HUMB
HUMB_004,HUMB,004,HUMB_004_R1.sort.flt.bam,1433887,New Genome,/home/maccamp/data/longfin/HUMB_004_R1.sort.flt.bam,HUMB
HUMB_005,HUMB,005,HUMB_005_R1.sort.flt.bam,1916198,New Genome,/home/maccamp/data/longfin/HUMB_005_R1.sort.flt.bam,HUMB
HUMB_006,HUMB,006,HUMB_006_R1.sort.flt.bam,2079840,New Genome,/home/maccamp/data/longfin/HUMB_006_R1.sort.flt.bam,HUMB
HUMB_007,HUMB,007,HUMB_007_R1.sort.flt.bam,1686615,New Genome,/home/maccamp/data/longfin/HUMB_007_R1.sort.flt.bam,HUMB
HUMB_008,HUMB,008,HUMB_008_R1.sort.flt.bam,1237057,New Genome,/home/maccamp/data/longfin/HUMB_008_R1.sort.flt.bam,HUMB
LWSH_037,LWSH,037,LWSH_037_R1.sort.flt.bam,1240081,New Genome,/home/maccamp/data/longfin/LWSH_037_R1.sort.flt.bam,LWSH
LWSH_040,LWSH,040,LWSH_040_R1.sort.flt.bam,537534,New Genome,/home/maccamp/data/longfin/LWSH_040_R1.sort.flt.bam,LWSH
LWSH_042,LWSH,042,LWSH_042_R1.sort.flt.bam,461191,New Genome,/home/maccamp/data/longfin/LWSH_042_R1.sort.flt.bam,LWSH
LWSH_050,LWSH,050,LWSH_050_R1.sort.flt.bam,212708,New Genome,/home/maccamp/data/longfin/LWSH_050_R1.sort.flt.bam,LWSH
LWSH_051,LWSH,051,LWSH_051_R1.sort.flt.bam,374500,New Genome,/home/maccamp/data/longfin/LWSH_051_R1.sort.flt.bam,LWSH
LWSH_052,LWSH,052,LWSH_052_R1.sort.flt.bam,511068,New Genome,/home/maccamp/data/longfin/LWSH_052_R1.sort.flt.bam,LWSH
LWSH_053,LWSH,053,LWSH_053_R1.sort.flt.bam,1945314,New Genome,/home/maccamp/data/longfin/LWSH_053_R1.sort.flt.bam,LWSH
LWSH_057,LWSH,057,LWSH_057_R1.sort.flt.bam,794991,New Genome,/home/maccamp/data/longfin/LWSH_057_R1.sort.flt.bam,LWSH
LWSH_058,LWSH,058,LWSH_058_R1.sort.flt.bam,1236615,New Genome,/home/maccamp/data/longfin/LWSH_058_R1.sort.flt.bam,LWSH
LWSH_060,LWSH,060,LWSH_060_R1.sort.flt.bam,829514,New Genome,/home/maccamp/data/longfin/LWSH_060_R1.sort.flt.bam,LWSH
LWSH_068,LWSH,068,LWSH_068_R1.sort.flt.bam,1957174,New Genome,/home/maccamp/data/longfin/LWSH_068_R1.sort.flt.bam,LWSH
LWSH_076,LWSH,076,LWSH_076_R1.sort.flt.bam,1572599,New Genome,/home/maccamp/data/longfin/LWSH_076_R1.sort.flt.bam,LWSH
LWSH_080,LWSH,080,LWSH_080_R1.sort.flt.bam,1003439,New Genome,/home/maccamp/data/longfin/LWSH_080_R1.sort.flt.bam,LWSH
LWSH_084,LWSH,084,LWSH_084_R1.sort.flt.bam,226257,New Genome,/home/maccamp/data/longfin/LWSH_084_R1.sort.flt.bam,LWSH
LWSH_090,LWSH,090,LWSH_090_R1.sort.flt.bam,464301,New Genome,/home/maccamp/data/longfin/LWSH_090_R1.sort.flt.bam,LWSH
LWSH_091,LWSH,091,LWSH_091_R1.sort.flt.bam,1015463,New Genome,/home/maccamp/data/longfin/LWSH_091_R1.sort.flt.bam,LWSH
LWSH_102,LWSH,102,LWSH_102_R1.sort.flt.bam,855992,New Genome,/home/maccamp/data/longfin/LWSH_102_R1.sort.flt.bam,LWSH
PETA_064,PETA,064,PETA_064_R1.sort.flt.bam,275687,New Genome,/home/maccamp/data/longfin/PETA_064_R1.sort.flt.bam,PETA
PETA_065,PETA,065,PETA_065_R1.sort.flt.bam,737210,New Genome,/home/maccamp/data/longfin/PETA_065_R1.sort.flt.bam,PETA
PETA_066,PETA,066,PETA_066_R1.sort.flt.bam,284840,New Genome,/home/maccamp/data/longfin/PETA_066_R1.sort.flt.bam,PETA
PETA_067,PETA,067,PETA_067_R1.sort.flt.bam,543833,New Genome,/home/maccamp/data/longfin/PETA_067_R1.sort.flt.bam,PETA
PETA_068,PETA,068,PETA_068_R1.sort.flt.bam,616978,New Genome,/home/maccamp/data/longfin/PETA_068_R1.sort.flt.bam,PETA
PETA_069,PETA,069,PETA_069_R1.sort.flt.bam,662145,New Genome,/home/maccamp/data/longfin/PETA_069_R1.sort.flt.bam,PETA
PTLC_006,PTLC,006,PTLC_006_R1.sort.flt.bam,173331,New Genome,/home/maccamp/data/longfin/PTLC_006_R1.sort.flt.bam,PTLC
PTLC_010,PTLC,010,PTLC_010_R1.sort.flt.bam,167574,New Genome,/home/maccamp/data/longfin/PTLC_010_R1.sort.flt.bam,PTLC
PTLC_014,PTLC,014,PTLC_014_R1.sort.flt.bam,164257,New Genome,/home/maccamp/data/longfin/PTLC_014_R1.sort.flt.bam,PTLC
PTLC_016,PTLC,016,PTLC_016_R1.sort.flt.bam,280764,New Genome,/home/maccamp/data/longfin/PTLC_016_R1.sort.flt.bam,PTLC
PTLC_021,PTLC,021,PTLC_021_R1.sort.flt.bam,352020,New Genome,/home/maccamp/data/longfin/PTLC_021_R1.sort.flt.bam,PTLC
PTLC_022,PTLC,022,PTLC_022_R1.sort.flt.bam,328503,New Genome,/home/maccamp/data/longfin/PTLC_022_R1.sort.flt.bam,PTLC
PTLC_024,PTLC,024,PTLC_024_R1.sort.flt.bam,345180,New Genome,/home/maccamp/data/longfin/PTLC_024_R1.sort.flt.bam,PTLC
SFBY_075,SFBY,075,SFBY_075_R1.sort.flt.bam,684288,New Genome,/home/maccamp/data/longfin/SFBY_075_R1.sort.flt.bam,SFBY
SFBY_076,SFBY,076,SFBY_076_R1.sort.flt.bam,330507,New Genome,/home/maccamp/data/longfin/SFBY_076_R1.sort.flt.bam,SFBY
SFBY_077,SFBY,077,SFBY_077_R1.sort.flt.bam,350872,New Genome,/home/maccamp/data/longfin/SFBY_077_R1.sort.flt.bam,SFBY
SFBY_078,SFBY,078,SFBY_078_R1.sort.flt.bam,284946,New Genome,/home/maccamp/data/longfin/SFBY_078_R1.sort.flt.bam,SFBY
SFBY_079,SFBY,079,SFBY_079_R1.sort.flt.bam,703083,New Genome,/home/maccamp/data/longfin/SFBY_079_R1.sort.flt.bam,SFBY
SFBY_080,SFBY,080,SFBY_080_R1.sort.flt.bam,483544,New Genome,/home/maccamp/data/longfin/SFBY_080_R1.sort.flt.bam,SFBY
SFBY_081,SFBY,081,SFBY_081_R1.sort.flt.bam,502841,New Genome,/home/maccamp/data/longfin/SFBY_081_R1.sort.flt.bam,SFBY
